numero finess etablissement juridique,numero finess etablissement,libelle description equipement sociaux,libta_equipement,rsej,activite,libelle activite,forme,libelle forme,nofinessej_1,raison_sociale,rslongue,code commune,departement,libelle departement,categetab,categorie,latitude,longitude,type d etablissements,code_insee
,090002585,,,,,,,,090002577,3L,3L,289,09,ARIEGE,620,Pharmacie d'Officine,43.008007434230194,1.1216815950000514,Soins de ville,09289
,090784125,,,AAIR MIDI PYRENEES,16,Traitement de l'insuffisance rénale chronique par épuration extrarénale,14,Non saisonnier,310000633,AAIR UAD LAVELANET,AAIR UAD LAVELANET,160,09,ARIEGE,146,Structure d'Alternative à la dialyse en centre,42.94031372248783,1.8544158277832994,Hopitaux cliniques,09160
,090002833,,,AAIR MIDI PYRENEES,16,Traitement de l'insuffisance rénale chronique par épuration extrarénale,00,Pas de forme,310000633,AAIR UAD UDM DD PAMIERS,AAIR UAD UDM DD PAMIERS,225,09,ARIEGE,146,Structure d'Alternative à la dialyse en centre,43.11541091740762,1.6268552263905212,Hopitaux cliniques,09225
,090002833,,,AAIR MIDI PYRENEES,16,Traitement de l'insuffisance rénale chronique par épuration extrarénale,14,Non saisonnier,310000633,AAIR UAD UDM DD PAMIERS,AAIR UAD UDM DD PAMIERS,225,09,ARIEGE,146,Structure d'Alternative à la dialyse en centre,43.11541091740762,1.6268552263905212,Hopitaux cliniques,09225
,090784679,,,AAIR MIDI PYRENEES,16,Traitement de l'insuffisance rénale chronique par épuration extrarénale,00,Pas de forme,310000633,AAIR UAD UDM ST LIZIER,AAIR UAD UDM SAINT LIZIER CLINIQUE DES ROZES,268,09,ARIEGE,146,Structure d'Alternative à la dialyse en centre,42.99901056368797,1.128548601563905,Hopitaux cliniques,09268
,090005190,,,,,,,,310000633,AAIR UAD UDM SURBA,AAIR UAD UDM SURBA (TARASCON SUR ARIEGE),303,09,ARIEGE,146,Structure d'Alternative à la dialyse en centre,42.85508876175455,1.5947208884679624,Hopitaux cliniques,09303
750721334,090004391,Soutien et accompagnement social,Accueil de Jour,,,,,,750721334,ACCUEIL DE JOUR,,122,09,ARIEGE,219,Autre Centre d'Accueil,42.9668403289723,1.6036121849435143,Centres d'accueil,09122
750721334,090003054,"Hébergement d'Urgence Adultes, Familles Difficulté",Hébergement Complet Internat,,,,,,750721334,ACCUEIL DE NUIT,,160,09,ARIEGE,219,Autre Centre d'Accueil,42.93461784000093,1.850033656113821,Centres d'accueil,09160
090784380,090784737,Hébergement Accueil Mère Enfant,Hébergement Complet Internat,,,,,,090784380,ASSOCIATION HERISSON-BELLOR,ASSOCIATION HERISSON-BELLOR CENTRE PARENTAL,185,09,ARIEGE,166,Etablissement d'Accueil Mère-Enfant,43.25267640440907,1.6781109830568601,Centres d'accueil,09185
090782160,090000332,Travail protégé pour Adultes Handicapés,Externat,,,,,,090782160,ATELIER PROTEGE ARIEGE RESTAUR PAMIERS,ARIEGE RESTAURATION ATELIER PROTEGE,225,09,ARIEGE,247,Entreprise adaptée,43.100706118033166,1.6171071965485029,Médico-social handicap,09225
090782160,090000357,Travail protégé pour Adultes Handicapés,Externat,,,,,,090782160,ATELIER PROTEGE USI 9 PAMIERS,USI 9 ATELIER PROTEGE,225,09,ARIEGE,247,Entreprise adaptée,43.11478575691921,1.6079259900039844,Médico-social handicap,09225
,090003930,,,,,,,,090782160,BLANCHISSERIE DES VALLEES D'AX,,228,09,ARIEGE,247,Entreprise adaptée,42.743906976298916,1.7871711869177265,Médico-social handicap,09228
090784307,090003914,Accompagnement à la vie sociale des adultes handicapés,Prestation en milieu ordinaire,,,,,,090784307,CAAIS,,160,09,ARIEGE,446,Service d'Accompagnement à la Vie Sociale (S.A.V.S.),42.9298541496546,1.8442837977204982,Médico-social handicap,09160
090001488,090002668,Accueil orientation soins accompagnement diff spécifiques,Accueil de Jour,,,,,,090001488,CAARUD AIPD,CTRE ACC ET ACCOMP REDUCTION RISQUES POUR USAGERS DE DROGUES,122,09,ARIEGE,178,Ctre.Accueil/ Accomp.Réduc.Risq.Usag. Drogues (C.A.A.R.U.D.),42.96505250209027,1.6034274384098763,Centres d'accueil,09122
750808511,090002510,Hébergement Réadapt. Sociale Pers.Familles en Difficulté,Hébergement Complet Internat,,,,,,750808511,CADA DE CARLA BAYLE,,079,09,ARIEGE,443,Centre Accueil Demandeurs Asile (C.A.D.A.),43.14987931344552,1.3934894035782115,Social / Hébergement,09079
750808511,090002510,Hébergement Réadapt. Sociale Pers.Familles en Difficulté,Hébergement de Nuit Eclaté,,,,,,750808511,CADA DE CARLA BAYLE,,079,09,ARIEGE,443,Centre Accueil Demandeurs Asile (C.A.D.A.),43.14987931344552,1.3934894035782115,Social / Hébergement,09079
